COM Port 2:
2018/10/14 21:52:05:249;-üpþ|ü||þþþøþþøæ'þþ||öðÊ®3fÃ05953
2018/10/14 21:53:01:275;05967
2018/10/14 21:53:01:275;05967
2018/10/14 21:53:01:291;05967
2018/10/14 21:53:01:291;05968
2018/10/14 21:53:01:291;05968
2018/10/14 21:53:01:291;05968
2018/10/14 21:53:01:291;05968
2018/10/14 21:53:01:291;05967
2018/10/14 21:53:01:291;05968
2018/10/14 21:53:01:291;05968
2018/10/14 21:53:01:291;05968
2018/10/14 21:53:01:307;05968
2018/10/14 21:53:01:307;05967
2018/10/14 21:53:01:307;05967
2018/10/14 21:53:01:307;05967
2018/10/14 21:53:01:307;05967
2018/10/14 21:53:01:307;05968
2018/10/14 21:53:01:307;05969
2018/10/14 21:53:01:307;05968
2018/10/14 21:53:01:307;05968
2018/10/14 21:53:01:307;05967
2018/10/14 21:53:01:323;05967
2018/10/14 21:53:01:323;05968
2018/10/14 21:53:01:323;05968
2018/10/14 21:53:01:323;05969
2018/10/14 21:53:01:323;05968
2018/10/14 21:53:01:323;05968
2018/10/14 21:53:01:323;05968
2018/10/14 21:53:01:323;05967
2018/10/14 21:53:01:323;05967
2018/10/14 21:53:01:339;05968
2018/10/14 21:53:01:339;05968
2018/10/14 21:53:01:339;05968
2018/10/14 21:53:01:339;05968
2018/10/14 21:53:01:339;05969
2018/10/14 21:53:01:339;05967
2018/10/14 21:53:01:339;05967
2018/10/14 21:53:01:339;05966
2018/10/14 21:53:01:339;05967
2018/10/14 21:53:01:339;05967
2018/10/14 21:53:01:355;05966
2018/10/14 21:53:01:355;05966
2018/10/14 21:53:01:355;05967
2018/10/14 21:53:01:355;05967
2018/10/14 21:53:01:355;05967
2018/10/14 21:53:01:355;05967
2018/10/14 21:53:01:355;05967
2018/10/14 21:53:01:355;05967
2018/10/14 21:53:01:355;05965
2018/10/14 21:53:01:371;05967
2018/10/14 21:53:01:371;05968
2018/10/14 21:53:01:371;05968
2018/10/14 21:53:01:371;05968
2018/10/14 21:53:01:371;05968
2018/10/14 21:53:01:371;05968
2018/10/14 21:53:01:371;05968
2018/10/14 21:53:01:371;05968
2018/10/14 21:53:01:371;05967
2018/10/14 21:53:01:371;05967
2018/10/14 21:53:01:387;05966
2018/10/14 21:53:01:387;05965
2018/10/14 21:53:01:387;05965
2018/10/14 21:53:01:387;05965
2018/10/14 21:53:01:387;05966
2018/10/14 21:53:01:387;05967
2018/10/14 21:53:01:387;05963
2018/10/14 21:53:01:387;05967
2018/10/14 21:53:01:387;05966
2018/10/14 21:53:01:403;05966
2018/10/14 21:53:01:403;05966
2018/10/14 21:53:01:403;05966
2018/10/14 21:53:01:403;05967
2018/10/14 21:53:01:403;05967
2018/10/14 21:53:01:403;05967
2018/10/14 21:53:01:403;05967
2018/10/14 21:53:01:403;05967
2018/10/14 21:53:01:403;05967
2018/10/14 21:53:01:403;05968
2018/10/14 21:53:01:419;05968
2018/10/14 21:53:01:419;05967
2018/10/14 21:53:01:419;05967
2018/10/14 21:53:01:419;05968
2018/10/14 21:53:01:419;05968
2018/10/14 21:53:01:419;05968
2018/10/14 21:53:01:419;05968
2018/10/14 21:53:01:419;05968
2018/10/14 21:53:01:419;05968
2018/10/14 21:53:01:435;05968
2018/10/14 21:53:01:435;05968
2018/10/14 21:53:01:435;05967
2018/10/14 21:53:01:435;05967
2018/10/14 21:53:01:435;05967
2018/10/14 21:53:01:435;05967
2018/10/14 21:53:01:435;05967
2018/10/14 21:53:01:435;05968
2018/10/14 21:53:01:435;05968
2018/10/14 21:53:01:435;05967
2018/10/14 21:53:01:451;05967
2018/10/14 21:53:01:451;05968
2018/10/14 21:53:01:451;05968
2018/10/14 21:53:01:451;05967
2018/10/14 21:53:01:451;05967
2018/10/14 21:53:01:451;05967
2018/10/14 21:53:01:451;05968
2018/10/14 21:53:01:451;05968
2018/10/14 21:53:01:451;05967
2018/10/14 21:53:01:467;05968
2018/10/14 21:53:01:467;05968
2018/10/14 21:53:01:467;05968
2018/10/14 21:53:01:467;05967
2018/10/14 21:53:01:467;05968
2018/10/14 21:53:01:467;05967
2018/10/14 21:53:01:467;05967
2018/10/14 21:53:01:467;05968
2018/10/14 21:53:01:467;05967
2018/10/14 21:53:01:467;05967
2018/10/14 21:53:01:483;05967
2018/10/14 21:53:01:483;05968
2018/10/14 21:53:01:483;05967
2018/10/14 21:53:01:483;05968
2018/10/14 21:53:01:483;05968
2018/10/14 21:53:01:483;05968
2018/10/14 21:53:01:483;05968
2018/10/14 21:53:01:483;05966
2018/10/14 21:53:01:483;05967
2018/10/14 21:53:01:498;05967
2018/10/14 21:53:01:498;05966
2018/10/14 21:53:01:498;05968
2018/10/14 21:53:01:498;05968
2018/10/14 21:53:01:499;05967
2018/10/14 21:53:01:499;05967
2018/10/14 21:53:01:499;05967
2018/10/14 21:53:01:499;05967
2018/10/14 21:53:01:499;05967
2018/10/14 21:53:01:499;05967
2018/10/14 21:53:01:514;05967
2018/10/14 21:53:01:514;05967
2018/10/14 21:53:01:514;05967
2018/10/14 21:53:01:514;05967
2018/10/14 21:53:01:514;05967
2018/10/14 21:53:01:515;05966
2018/10/14 21:53:01:515;05967
2018/10/14 21:53:01:515;05967
2018/10/14 21:53:01:515;05967
2018/10/14 21:53:01:530;05967
2018/10/14 21:53:01:530;05967
2018/10/14 21:53:01:530;05968
2018/10/14 21:53:01:530;05967
2018/10/14 21:53:01:530;05968
2018/10/14 21:53:01:531;05968
2018/10/14 21:53:01:531;05967
2018/10/14 21:53:01:531;05966
2018/10/14 21:53:01:531;05967
2018/10/14 21:53:01:531;05966
2018/10/14 21:53:01:546;05967
2018/10/14 21:53:01:547;05967
2018/10/14 21:53:01:547;05967
2018/10/14 21:53:01:547;05967
2018/10/14 21:53:01:547;05967
2018/10/14 21:53:01:547;05967
2018/10/14 21:53:01:547;05967
2018/10/14 21:53:01:547;05968
2018/10/14 21:53:01:547;05968
2018/10/14 21:53:01:562;05968
2018/10/14 21:53:01:562;05967
2018/10/14 21:53:01:562;05966
2018/10/14 21:53:01:562;05967
2018/10/14 21:53:01:562;05968
2018/10/14 21:53:01:562;05967
2018/10/14 21:53:01:562;05967
2018/10/14 21:53:01:563;05967
2018/10/14 21:53:01:563;05968
2018/10/14 21:53:01:563;05967
2018/10/14 21:53:01:578;05967
2018/10/14 21:53:01:578;05967
2018/10/14 21:53:01:578;05967
2018/10/14 21:53:01:578;05967
2018/10/14 21:53:01:579;05967
2018/10/14 21:53:01:579;05966
2018/10/14 21:53:01:579;05966
2018/10/14 21:53:01:579;05966
2018/10/14 21:53:01:579;05965
2018/10/14 21:53:01:594;05966
2018/10/14 21:53:01:594;05966
2018/10/14 21:53:01:594;05967
2018/10/14 21:53:01:594;05967
2018/10/14 21:53:01:594;05967
2018/10/14 21:53:01:595;05967
2018/10/14 21:53:01:595;05967
2018/10/14 21:53:01:595;05967
2018/10/14 21:53:01:595;05967
2018/10/14 21:53:01:595;05967
2018/10/14 21:53:01:610;05967
2018/10/14 21:53:01:610;05966
2018/10/14 21:53:01:610;05966
2018/10/14 21:53:01:610;05967
2018/10/14 21:53:01:610;05965
2018/10/14 21:53:01:610;05966
2018/10/14 21:53:01:610;05965
2018/10/14 21:53:01:611;05966
2018/10/14 21:53:01:611;05965
2018/10/14 21:53:01:626;05965
2018/10/14 21:53:01:626;05965
2018/10/14 21:53:01:626;05966
2018/10/14 21:53:01:626;05966
2018/10/14 21:53:01:626;05966
2018/10/14 21:53:01:626;05967
2018/10/14 21:53:01:626;05968
2018/10/14 21:53:01:627;05967
2018/10/14 21:53:01:627;05967
2018/10/14 21:53:01:627;05966
2018/10/14 21:53:01:642;05966
2018/10/14 21:53:01:642;05967
2018/10/14 21:53:01:642;05967
2018/10/14 21:53:01:642;05967
2018/10/14 21:53:01:642;05968
2018/10/14 21:53:01:643;05967
2018/10/14 21:53:01:643;05967
2018/10/14 21:53:01:643;05966
2018/10/14 21:53:01:643;05966
2018/10/14 21:53:01:643;05966
2018/10/14 21:53:01:658;05966
2018/10/14 21:53:01:658;05967
2018/10/14 21:53:01:658;05967
2018/10/14 21:53:01:658;05967
2018/10/14 21:53:01:658;05967
2018/10/14 21:53:01:658;05966
2018/10/14 21:53:01:658;05967
2018/10/14 21:53:01:658;05967
2018/10/14 21:53:01:658;05967
2018/10/14 21:53:01:674;05967
2018/10/14 21:53:01:674;05967
2018/10/14 21:53:01:674;05969
2018/10/14 21:53:01:674;05967
2018/10/14 21:53:01:674;05968
2018/10/14 21:53:01:674;05967
2018/10/14 21:53:01:674;05967
2018/10/14 21:53:01:674;05967
2018/10/14 21:53:01:674;05966
2018/10/14 21:53:01:674;05966
2018/10/14 21:53:01:690;05966
2018/10/14 21:53:01:690;05967
2018/10/14 21:53:01:690;05967
2018/10/14 21:53:01:690;05967
2018/10/14 21:53:01:690;05967
2018/10/14 21:53:01:690;05967
2018/10/14 21:53:01:690;05968
2018/10/14 21:53:01:690;05968
2018/10/14 21:53:01:690;05967
2018/10/14 21:53:01:706;05967
2018/10/14 21:53:01:706;05967
2018/10/14 21:53:01:706;05967
2018/10/14 21:53:01:706;05968
2018/10/14 21:53:01:706;05969
2018/10/14 21:53:01:707;05968
2018/10/14 21:53:01:707;05968
2018/10/14 21:53:01:707;05968
2018/10/14 21:53:01:707;05967
2018/10/14 21:53:01:707;05967
2018/10/14 21:53:01:722;05967
2018/10/14 21:53:01:722;05966
2018/10/14 21:53:01:722;05968
2018/10/14 21:53:01:722;05967
2018/10/14 21:53:01:722;05967
2018/10/14 21:53:01:723;05968
2018/10/14 21:53:01:723;05968
2018/10/14 21:53:01:723;05967
2018/10/14 21:53:01:723;05966
2018/10/14 21:53:01:738;05967
2018/10/14 21:53:01:738;05969
2018/10/14 21:53:01:738;05968
2018/10/14 21:53:01:738;05968
2018/10/14 21:53:01:738;05967
2018/10/14 21:53:01:738;05968
2018/10/14 21:53:01:738;05968
2018/10/14 21:53:01:738;05967
2018/10/14 21:53:01:738;05968
2018/10/14 21:53:01:738;05967
2018/10/14 21:53:01:754;05967
2018/10/14 21:53:01:754;05966
2018/10/14 21:53:01:754;05966
2018/10/14 21:53:01:754;05967
2018/10/14 21:53:01:754;05967
2018/10/14 21:53:01:754;05967
2018/10/14 21:53:01:754;05967
2018/10/14 21:53:01:754;05966
2018/10/14 21:53:01:755;05966
2018/10/14 21:53:01:770;05966
2018/10/14 21:53:01:770;05966
2018/10/14 21:53:01:770;05966
2018/10/14 21:53:01:770;05966
2018/10/14 21:53:01:770;05967
2018/10/14 21:53:01:771;05966
2018/10/14 21:53:01:771;05965
2018/10/14 21:53:01:771;05966
2018/10/14 21:53:01:771;05967
2018/10/14 21:53:01:771;05967
2018/10/14 21:53:01:786;05967
2018/10/14 21:53:01:786;05968
2018/10/14 21:53:01:786;05967
2018/10/14 21:53:01:786;05968
2018/10/14 21:53:01:786;05968
2018/10/14 21:53:01:786;05967
2018/10/14 21:53:01:786;05967
2018/10/14 21:53:01:787;05967
2018/10/14 21:53:01:787;05968
2018/10/14 21:53:01:802;05967
2018/10/14 21:53:01:802;05967
2018/10/14 21:53:01:802;05962
2018/10/14 21:53:01:802;05967
2018/10/14 21:53:01:802;05967
2018/10/14 21:53:01:802;05968
2018/10/14 21:53:01:802;05968
2018/10/14 21:53:01:802;05967
2018/10/14 21:53:01:803;05967
2018/10/14 21:53:01:803;05967
2018/10/14 21:53:01:818;05967
2018/10/14 21:53:01:818;05967
2018/10/14 21:53:01:818;05967
2018/10/14 21:53:01:818;05967
2018/10/14 21:53:01:818;05967
2018/10/14 21:53:01:818;05966
2018/10/14 21:53:01:819;05966
2018/10/14 21:53:01:819;05967
2018/10/14 21:53:01:819;05966
2018/10/14 21:53:01:819;05966
2018/10/14 21:53:01:834;05966
2018/10/14 21:53:01:834;05967
2018/10/14 21:53:01:834;05966
2018/10/14 21:53:01:834;05967
2018/10/14 21:53:01:834;05966
2018/10/14 21:53:01:834;05966
2018/10/14 21:53:01:834;05967
2018/10/14 21:53:01:834;05966
2018/10/14 21:53:01:834;05967
2018/10/14 21:53:01:850;05966
2018/10/14 21:53:01:850;05967
2018/10/14 21:53:01:850;05966
2018/10/14 21:53:01:850;05966
2018/10/14 21:53:01:850;05966
2018/10/14 21:53:01:850;05965
2018/10/14 21:53:01:850;05965
2018/10/14 21:53:01:850;05966
2018/10/14 21:53:01:850;05966
2018/10/14 21:53:01:850;05966
2018/10/14 21:53:01:866;05965
2018/10/14 21:53:01:866;05966
2018/10/14 21:53:01:866;05966
2018/10/14 21:53:01:866;05966
2018/10/14 21:53:01:866;05966
2018/10/14 21:53:01:867;05966
2018/10/14 21:53:01:867;05966
2018/10/14 21:53:01:867;05966
2018/10/14 21:53:01:867;05966
2018/10/14 21:53:01:882;05966
2018/10/14 21:53:01:882;05965
2018/10/14 21:53:01:882;05966
2018/10/14 21:53:01:882;05966
2018/10/14 21:53:01:882;05966
2018/10/14 21:53:01:882;05966
2018/10/14 21:53:01:882;05966
2018/10/14 21:53:01:882;05966
2018/10/14 21:53:01:882;05966
2018/10/14 21:53:01:882;05966
2018/10/14 21:53:01:898;05967
2018/10/14 21:53:01:898;05967
2018/10/14 21:53:01:898;05968
2018/10/14 21:53:01:898;05968
2018/10/14 21:53:01:898;05968
2018/10/14 21:53:01:898;05967
2018/10/14 21:53:01:898;05967
2018/10/14 21:53:01:898;05967
2018/10/14 21:53:01:898;05966
2018/10/14 21:53:01:914;05967
2018/10/14 21:53:01:914;05967
2018/10/14 21:53:01:914;05967
2018/10/14 21:53:01:914;05966
2018/10/14 21:53:01:914;05967
2018/10/14 21:53:01:914;05966
2018/10/14 21:53:01:914;05967
2018/10/14 21:53:01:914;05966
2018/10/14 21:53:01:914;05966
2018/10/14 21:53:01:914;05967
2018/10/14 21:53:01:930;05967
2018/10/14 21:53:01:930;05967
2018/10/14 21:53:01:930;05966
2018/10/14 21:53:01:930;05967
2018/10/14 21:53:01:930;05966
2018/10/14 21:53:01:930;05966
2018/10/14 21:53:01:930;05966
2018/10/14 21:53:01:930;05967
2018/10/14 21:53:01:930;05966
2018/10/14 21:53:01:946;05966
2018/10/14 21:53:01:946;05966
2018/10/14 21:53:01:946;05966
2018/10/14 21:53:01:946;05966
2018/10/14 21:53:01:946;05966
2018/10/14 21:53:01:946;05966
2018/10/14 21:53:01:946;05967
2018/10/14 21:53:01:946;05967
2018/10/14 21:53:01:946;05966
2018/10/14 21:53:01:946;05967
2018/10/14 21:53:01:962;05966
2018/10/14 21:53:01:962;05967
2018/10/14 21:53:01:962;05966
2018/10/14 21:53:01:962;05966
2018/10/14 21:53:01:962;05966
2018/10/14 21:53:01:962;05967
2018/10/14 21:53:01:962;05967
2018/10/14 21:53:01:962;05966
2018/10/14 21:53:01:962;05967
2018/10/14 21:53:01:978;05967
2018/10/14 21:53:01:978;05967
2018/10/14 21:53:01:978;05967
2018/10/14 21:53:01:978;05967
2018/10/14 21:53:01:978;05967
2018/10/14 21:53:01:978;05967
2018/10/14 21:53:01:978;05967
2018/10/14 21:53:01:978;05968
2018/10/14 21:53:01:978;05967
2018/10/14 21:53:01:978;05967
2018/10/14 21:53:01:994;05966
2018/10/14 21:53:01:994;05966
2018/10/14 21:53:01:994;05966
2018/10/14 21:53:01:994;05967
2018/10/14 21:53:01:994;05966
2018/10/14 21:53:01:994;05967
2018/10/14 21:53:01:994;05965
2018/10/14 21:53:01:994;05966
2018/10/14 21:53:01:994;05967
2018/10/14 21:53:02:010;05968
2018/10/14 21:53:02:010;05969
2018/10/14 21:53:02:010;05968
2018/10/14 21:53:02:010;05968
2018/10/14 21:53:02:010;05968
2018/10/14 21:53:02:010;05967
2018/10/14 21:53:02:010;05968
2018/10/14 21:53:02:010;05968
2018/10/14 21:53:02:010;05967
2018/10/14 21:53:02:026;05967
2018/10/14 21:53:02:026;05967
2018/10/14 21:53:02:026;05969
2018/10/14 21:53:02:026;05969
2018/10/14 21:53:02:026;05969
2018/10/14 21:53:02:026;05968
2018/10/14 21:53:02:026;05969
2018/10/14 21:53:02:026;05966
2018/10/14 21:53:02:026;05967
2018/10/14 21:53:02:026;05967
2018/10/14 21:53:02:042;05967
2018/10/14 21:53:02:042;05967
2018/10/14 21:53:02:042;05966
2018/10/14 21:53:02:042;05967
2018/10/14 21:53:02:042;05967
2018/10/14 21:53:02:042;05966
2018/10/14 21:53:02:042;05966
2018/10/14 21:53:02:042;05967
2018/10/14 21:53:02:042;05967
2018/10/14 21:53:02:058;05967
2018/10/14 21:53:02:058;05967
2018/10/14 21:53:02:058;05966
2018/10/14 21:53:02:058;05967
2018/10/14 21:53:02:058;05967
2018/10/14 21:53:02:058;05966
2018/10/14 21:53:02:058;05966
2018/10/14 21:53:02:058;05967
2018/10/14 21:53:02:058;05965
2018/10/14 21:53:02:058;05966
2018/10/14 21:53:02:074;05967
2018/10/14 21:53:02:074;05966
2018/10/14 21:53:02:074;05968
2018/10/14 21:53:02:074;05966
2018/10/14 21:53:02:074;05967
2018/10/14 21:53:02:074;05966
2018/10/14 21:53:02:074;05968
2018/10/14 21:53:02:074;05968
2018/10/14 21:53:02:074;05968
2018/10/14 21:53:02:090;05969
2018/10/14 21:53:02:090;05969
2018/10/14 21:53:02:090;05968
2018/10/14 21:53:02:090;05968
2018/10/14 21:53:02:090;05967
2018/10/14 21:53:02:090;05968
2018/10/14 21:53:02:090;05967
2018/10/14 21:53:02:090;05968
2018/10/14 21:53:02:090;05967
2018/10/14 21:53:02:090;05967
2018/10/14 21:53:02:106;05967
2018/10/14 21:53:02:106;05968
2018/10/14 21:53:02:106;05968
2018/10/14 21:53:02:106;05967
2018/10/14 21:53:02:106;05968
2018/10/14 21:53:02:106;05967
2018/10/14 21:53:02:106;05967
2018/10/14 21:53:02:106;05967
2018/10/14 21:53:02:106;05967
2018/10/14 21:53:02:122;05968
2018/10/14 21:53:02:122;05966
2018/10/14 21:53:02:122;05968
2018/10/14 21:53:02:122;05967
2018/10/14 21:53:02:122;05968
2018/10/14 21:53:02:122;05968
2018/10/14 21:53:02:122;05968
2018/10/14 21:53:02:122;05967
2018/10/14 21:53:02:122;05968
2018/10/14 21:53:02:122;05967
2018/10/14 21:53:02:138;05967
2018/10/14 21:53:02:138;05967
2018/10/14 21:53:02:138;05967
2018/10/14 21:53:02:138;05967
2018/10/14 21:53:02:138;05968
2018/10/14 21:53:02:138;05968
2018/10/14 21:53:02:139;05968
2018/10/14 21:53:02:139;05967
2018/10/14 21:53:02:139;05968
2018/10/14 21:53:02:154;05967
2018/10/14 21:53:02:154;05967
2018/10/14 21:53:02:154;05968
2018/10/14 21:53:02:154;05968
2018/10/14 21:53:02:154;05967
2018/10/14 21:53:02:154;05967
2018/10/14 21:53:02:154;05967
2018/10/14 21:53:02:154;05967
2018/10/14 21:53:02:154;05967
2018/10/14 21:53:02:154;05967
2018/10/14 21:53:02:170;05966
2018/10/14 21:53:02:170;05966
2018/10/14 21:53:02:170;05967
2018/10/14 21:53:02:170;05967
2018/10/14 21:53:02:170;05967
2018/10/14 21:53:02:170;05968
2018/10/14 21:53:02:170;05968
2018/10/14 21:53:02:170;05967
2018/10/14 21:53:02:170;05968
2018/10/14 21:53:02:186;05966
2018/10/14 21:53:02:186;05967
2018/10/14 21:53:02:186;05966
2018/10/14 21:53:02:186;05967
2018/10/14 21:53:02:186;05967
2018/10/14 21:53:02:186;05967
2018/10/14 21:53:02:186;05967
2018/10/14 21:53:02:186;05967
2018/10/14 21:53:02:186;05967
2018/10/14 21:53:02:186;05968
2018/10/14 21:53:02:202;05968
2018/10/14 21:53:02:202;05968
2018/10/14 21:53:02:202;05968
2018/10/14 21:53:02:202;05967
2018/10/14 21:53:02:202;05967
2018/10/14 21:53:02:202;05968
2018/10/14 21:53:02:202;05967
2018/10/14 21:53:02:202;05967
2018/10/14 21:53:02:202;05967
2018/10/14 21:53:02:218;05967
2018/10/14 21:53:02:218;05967
2018/10/14 21:53:02:218;05969
2018/10/14 21:53:02:218;05967
2018/10/14 21:53:02:218;05968
2018/10/14 21:53:02:218;05966
2018/10/14 21:53:02:218;05966
2018/10/14 21:53:02:218;05966
2018/10/14 21:53:02:218;05966
2018/10/14 21:53:02:218;05966
2018/10/14 21:53:02:234;05967
2018/10/14 21:53:02:234;05966
2018/10/14 21:53:02:234;05966
2018/10/14 21:53:02:234;05966
2018/10/14 21:53:02:234;05966
2018/10/14 21:53:02:234;05966
2018/10/14 21:53:02:234;05966
2018/10/14 21:53:02:234;05966
2018/10/14 21:53:02:234;05967
2018/10/14 21:53:02:250;05966
2018/10/14 21:53:02:250;05966
2018/10/14 21:53:02:250;05966
2018/10/14 21:53:02:250;05966
2018/10/14 21:53:02:250;05966
2018/10/14 21:53:02:250;05966
2018/10/14 21:53:02:250;05967
2018/10/14 21:53:02:250;05966
2018/10/14 21:53:02:250;05966
2018/10/14 21:53:02:250;05966
2018/10/14 21:53:02:266;05966
2018/10/14 21:53:02:266;05966
2018/10/14 21:53:02:266;05966
2018/10/14 21:53:02:266;05965
2018/10/14 21:53:02:266;05966
2018/10/14 21:53:02:266;05966
2018/10/14 21:53:02:266;05965
2018/10/14 21:53:02:266;05965
2018/10/14 21:53:02:266;05966
2018/10/14 21:53:02:282;05967
2018/10/14 21:53:02:282;05966
2018/10/14 21:53:02:282;05966
2018/10/14 21:53:02:282;05966
2018/10/14 21:53:02:282;05967
2018/10/14 21:53:02:282;05967
2018/10/14 21:53:02:282;05967
2018/10/14 21:53:02:282;05966
2018/10/14 21:53:02:282;05966
2018/10/14 21:53:02:282;05966
2018/10/14 21:53:02:298;05967
2018/10/14 21:53:02:298;05966
2018/10/14 21:53:02:298;05967
2018/10/14 21:53:02:298;05966
2018/10/14 21:53:02:298;05966
2018/10/14 21:53:02:298;05966
2018/10/14 21:53:02:298;05966
2018/10/14 21:53:02:298;05966
2018/10/14 21:53:02:298;05967
2018/10/14 21:53:02:298;05966
2018/10/14 21:53:02:314;05966
2018/10/14 21:53:02:314;05967
2018/10/14 21:53:02:314;05966
2018/10/14 21:53:02:314;05966
2018/10/14 21:53:02:314;05966
2018/10/14 21:53:02:314;05967
2018/10/14 21:53:02:314;05967
2018/10/14 21:53:02:314;05966
2018/10/14 21:53:02:314;05966
2018/10/14 21:53:02:330;05966
2018/10/14 21:53:02:330;05967
2018/10/14 21:53:02:330;05966
2018/10/14 21:53:02:330;05967
2018/10/14 21:53:02:330;05967
2018/10/14 21:53:02:330;05966
2018/10/14 21:53:02:330;05966
2018/10/14 21:53:02:330;05967
2018/10/14 21:53:02:330;05966
2018/10/14 21:53:02:330;05966
2018/10/14 21:53:02:346;05967
2018/10/14 21:53:02:346;05967
2018/10/14 21:53:02:346;05966
2018/10/14 21:53:02:346;05966
2018/10/14 21:53:02:346;05966
2018/10/14 21:53:02:346;05966
2018/10/14 21:53:02:346;05966
2018/10/14 21:53:02:346;05967
2018/10/14 21:53:02:346;05966
2018/10/14 21:53:02:362;05967
2018/10/14 21:53:02:362;05965
2018/10/14 21:53:02:362;05965
2018/10/14 21:53:02:362;05966
2018/10/14 21:53:02:362;05966
2018/10/14 21:53:02:362;05965
2018/10/14 21:53:02:362;05966
2018/10/14 21:53:02:362;05965
2018/10/14 21:53:02:362;05966
2018/10/14 21:53:02:362;05965
2018/10/14 21:53:02:378;05966
2018/10/14 21:53:02:378;05965
2018/10/14 21:53:02:378;05965
2018/10/14 21:53:02:378;05965
2018/10/14 21:53:02:378;05967
2018/10/14 21:53:02:378;05967
2018/10/14 21:53:02:378;05966
2018/10/14 21:53:02:378;05966
2018/10/14 21:53:02:378;05965
2018/10/14 21:53:02:393;05966
2018/10/14 21:53:02:394;05966
2018/10/14 21:53:02:394;05966
2018/10/14 21:53:02:394;05966
2018/10/14 21:53:02:394;05965
2018/10/14 21:53:02:394;05965
2018/10/14 21:53:02:394;05965
2018/10/14 21:53:02:394;05966
2018/10/14 21:53:02:394;05966
2018/10/14 21:53:02:394;05966
2018/10/14 21:53:02:409;05966
2018/10/14 21:53:02:409;05966
2018/10/14 21:53:02:410;05965
2018/10/14 21:53:02:410;05965
2018/10/14 21:53:02:410;05966
2018/10/14 21:53:02:410;05966
2018/10/14 21:53:02:410;05966
2018/10/14 21:53:02:410;05966
2018/10/14 21:53:02:410;05966
2018/10/14 21:53:02:425;05966
2018/10/14 21:53:02:425;05965
2018/10/14 21:53:02:426;05965
2018/10/14 21:53:02:426;05966
2018/10/14 21:53:02:426;05966
2018/10/14 21:53:02:426;05966
2018/10/14 21:53:02:426;05966
2018/10/14 21:53:02:426;05966
2018/10/14 21:53:02:426;05966
2018/10/14 21:53:02:426;05966
2018/10/14 21:53:02:441;05967
2018/10/14 21:53:02:441;05966
2018/10/14 21:53:02:442;05965
2018/10/14 21:53:02:442;05966
2018/10/14 21:53:02:442;05966
2018/10/14 21:53:02:442;05966
2018/10/14 21:53:02:442;05967
2018/10/14 21:53:02:442;05966
2018/10/14 21:53:02:442;05967
2018/10/14 21:53:02:457;05967
2018/10/14 21:53:02:457;05966
2018/10/14 21:53:02:457;05967
2018/10/14 21:53:02:458;05967
2018/10/14 21:53:02:458;05967
2018/10/14 21:53:02:458;05967
2018/10/14 21:53:02:458;05966
2018/10/14 21:53:02:458;05966
2018/10/14 21:53:02:458;05966
2018/10/14 21:53:02:458;05966
2018/10/14 21:53:02:473;05966
2018/10/14 21:53:02:474;05966
2018/10/14 21:53:02:474;05966
2018/10/14 21:53:02:474;05966
2018/10/14 21:53:02:474;05966
2018/10/14 21:53:02:474;05967
2018/10/14 21:53:02:474;05967
2018/10/14 21:53:02:474;05966
2018/10/14 21:53:02:474;05967
2018/10/14 21:53:02:489;05966
2018/10/14 21:53:02:489;05967
2018/10/14 21:53:02:489;05966
2018/10/14 21:53:02:490;05966
2018/10/14 21:53:02:490;05966
2018/10/14 21:53:02:490;05966
2018/10/14 21:53:02:490;05966
2018/10/14 21:53:02:490;05966
2018/10/14 21:53:02:490;05966
2018/10/14 21:53:02:490;05966
2018/10/14 21:53:02:505;05967
2018/10/14 21:53:02:506;05967
2018/10/14 21:53:02:506;05966
2018/10/14 21:53:02:506;05967
2018/10/14 21:53:02:506;05966
2018/10/14 21:53:02:506;05965
2018/10/14 21:53:02:506;05966
2018/10/14 21:53:02:506;05966
2018/10/14 21:53:02:506;05966
2018/10/14 21:53:02:521;05966
2018/10/14 21:53:02:521;05965
2018/10/14 21:53:02:521;05966
2018/10/14 21:53:02:521;05967
2018/10/14 21:53:02:522;05966
2018/10/14 21:53:02:522;05966
2018/10/14 21:53:02:522;05966
2018/10/14 21:53:02:522;05966
2018/10/14 21:53:02:522;05966
2018/10/14 21:53:02:522;05966
2018/10/14 21:53:02:537;05966
2018/10/14 21:53:02:537;05966
2018/10/14 21:53:02:537;05965
2018/10/14 21:53:02:538;05966
2018/10/14 21:53:02:538;05966
2018/10/14 21:53:02:538;05965
2018/10/14 21:53:02:538;05966
2018/10/14 21:53:02:538;05966
2018/10/14 21:53:02:538;05966
2018/10/14 21:53:02:553;05966
2018/10/14 21:53:02:553;05965
2018/10/14 21:53:02:553;05965
2018/10/14 21:53:02:554;05965
2018/10/14 21:53:02:554;05965
2018/10/14 21:53:02:554;05965
2018/10/14 21:53:02:554;05965
2018/10/14 21:53:02:554;05965
2018/10/14 21:53:02:554;05965
2018/10/14 21:53:02:554;05966
2018/10/14 21:53:02:570;05966
2018/10/14 21:53:02:570;05966
2018/10/14 21:53:02:570;05967
2018/10/14 21:53:02:570;05967
2018/10/14 21:53:02:570;05962
2018/10/14 21:53:02:570;05966
2018/10/14 21:53:02:570;05967
2018/10/14 21:53:02:570;05966
2018/10/14 21:53:02:570;05965
2018/10/14 21:53:02:586;05966
2018/10/14 21:53:02:586;05965
